region,week_end_date,historical_endogeneous,wILI
X,2004-01-10,2.89129,2.89129
X,2004-01-17,2.10429,2.10429
X,2004-01-24,1.8869599999999997,1.8869599999999997
X,2004-01-31,1.7766,1.7766
X,2004-02-07,1.46001,1.46001
X,2004-02-14,1.3778700000000002,1.3778700000000002
X,2004-02-21,1.30532,1.30532
X,2004-02-28,1.08691,1.08691
X,2004-03-06,0.9918879999999999,0.9918879999999999
X,2004-03-13,1.02765,1.02765
X,2004-03-20,1.0579,1.0579
X,2004-03-27,0.849361,0.849361
X,2004-04-03,0.7471270000000001,0.7471270000000001
X,2004-04-10,0.661708,0.661708
X,2004-04-17,0.6795140000000001,0.6795140000000001
X,2004-04-24,0.633071,0.633071
X,2004-05-01,0.569894,0.569894
X,2004-05-08,0.591357,0.591357
X,2004-05-15,0.589044,0.589044
X,2004-05-22,0.6786399999999999,0.6786399999999999
X,2004-05-29,0.637558,0.637558
X,2004-06-05,0.8133090000000001,0.8133090000000001
X,2004-06-12,0.834551,0.834551
X,2004-06-19,0.616174,0.616174
X,2004-06-26,0.513286,0.513286
X,2004-07-03,0.351881,0.351881
X,2004-07-10,0.542621,0.542621
X,2004-07-17,0.581036,0.581036
X,2004-07-24,0.495486,0.495486
X,2004-07-31,0.6120899999999999,0.6120899999999999
X,2004-08-07,0.5314909999999999,0.5314909999999999
X,2004-08-14,0.519987,0.519987
X,2004-08-21,0.574476,0.574476
X,2004-08-28,0.663175,0.663175
X,2004-09-04,0.614691,0.614691
X,2004-09-11,0.6568229999999999,0.6568229999999999
X,2004-09-18,0.723016,0.723016
X,2004-09-25,0.6918569999999999,0.6918569999999999
X,2004-10-02,0.782758,0.782758
X,2004-10-09,0.982275,0.982275
X,2004-10-16,1.01821,1.01821
X,2004-10-23,1.1768,1.1768
X,2004-10-30,1.30121,1.30121
X,2004-11-06,1.27746,1.27746
X,2004-11-13,1.4038700000000002,1.4038700000000002
X,2004-11-20,1.40301,1.40301
X,2004-11-27,1.73975,1.73975
X,2004-12-04,1.56894,1.56894
X,2004-12-11,1.65927,1.65927
X,2004-12-18,1.8134099999999997,1.8134099999999997
X,2004-12-25,2.37626,2.37626
X,2005-01-01,2.77052,2.77052
X,2005-01-08,2.40064,2.40064
X,2005-01-15,2.54155,2.54155
X,2005-01-22,2.85871,2.85871
X,2005-01-29,3.5501099999999997,3.5501099999999997
X,2005-02-05,4.58591,4.58591
X,2005-02-12,5.05809,5.05809
X,2005-02-19,5.44151,5.44151
X,2005-02-26,4.4729,4.4729
X,2005-03-05,3.6752,3.6752
X,2005-03-12,3.3353,3.3353
X,2005-03-19,2.7622400000000003,2.7622400000000003
X,2005-03-26,2.46844,2.46844
X,2005-04-02,2.00081,2.00081
X,2005-04-09,1.54319,1.54319
X,2005-04-16,1.50195,1.50195
X,2005-04-23,1.22918,1.22918
X,2005-04-30,1.21854,1.21854
X,2005-05-07,1.15832,1.15832
X,2005-05-14,1.249,1.249
X,2005-05-21,1.16888,1.16888
X,2005-05-28,1.0788799999999998,1.0788799999999998
X,2005-06-04,1.23059,1.23059
X,2005-06-11,1.14747,1.14747
X,2005-06-18,1.00254,1.00254
X,2005-06-25,0.957569,0.957569
X,2005-07-02,0.8948370000000001,0.8948370000000001
X,2005-07-09,0.798205,0.798205
X,2005-07-16,0.757812,0.757812
X,2005-07-23,0.8259629999999999,0.8259629999999999
X,2005-07-30,0.744927,0.744927
X,2005-08-06,0.787049,0.787049
X,2005-08-13,0.684724,0.684724
X,2005-08-20,0.7473609999999999,0.7473609999999999
X,2005-08-27,0.673974,0.673974
X,2005-09-03,0.869662,0.869662
X,2005-09-10,0.8995290000000001,0.8995290000000001
X,2005-09-17,0.854635,0.854635
X,2005-09-24,1.0112299999999999,1.0112299999999999
X,2005-10-01,0.977808,0.977808
X,2005-10-08,1.1777799999999998,1.1777799999999998
X,2005-10-15,1.21947,1.21947
X,2005-10-22,1.3069,1.3069
X,2005-10-29,1.33931,1.33931
X,2005-11-05,1.58374,1.58374
X,2005-11-12,1.47072,1.47072
X,2005-11-19,1.6112,1.6112
X,2005-11-26,1.8269900000000001,1.8269900000000001
X,2005-12-03,1.77482,1.77482
X,2005-12-10,1.94451,1.94451
X,2005-12-17,2.35512,2.35512
X,2005-12-24,3.10878,3.10878
X,2005-12-31,3.2823800000000003,3.2823800000000003
X,2006-01-07,2.62914,2.62914
X,2006-01-14,2.2515,2.2515
X,2006-01-21,2.35858,2.35858
X,2006-01-28,2.4188099999999997,2.4188099999999997
X,2006-02-04,2.52752,2.52752
X,2006-02-11,2.64954,2.64954
X,2006-02-18,3.12935,3.12935
