region,epiweek,week_end_date,wILI,confirmed_cases,uci_beds,death,recovered,hosp_rate,hospitalization,cli_er_visit,ili_er_visit,negative_cases,people_tested,emergency_facility_reporting,num_provider,kinsa_cases,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,dex,dex_a,dex_income_1,dex_income_1_a,dex_income_2,dex_income_2_a,dex_income_3,dex_income_3_a,dex_income_4,dex_income_4_a,dex_education_1,dex_education_1_a,dex_education_2,dex_education_2_a,dex_education_3,dex_education_3_a,dex_education_4,dex_education_4_a,dex_race_asian,dex_race_asian_a,dex_race_black,dex_race_black_a,dex_race_hispanic,dex_race_hispanic_a,dex_race_white,dex_race_white_a,historical_endogeneous
X,48,2019-11-30,3.4149,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,0.0,0.0,3453.0,2992.0,3.082236134,0.0,0.0,0.0,0.0,0.0,0.0,726.1210496,56137.36973,53538.87439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4149
X,49,2019-12-07,3.2579,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.7,0.0,0.0,3460.0,2995.0,3.641642608,0.0,0.0,0.0,0.0,0.0,0.0,728.4859184,56469.13442,53863.66869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2579
X,50,2019-12-14,3.9430099999999997,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.9,0.0,0.0,3459.0,2957.0,4.090435578,0.0,0.0,0.0,0.0,0.0,0.0,730.2414286000001,55408.62832999999,52767.61649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9430099999999997
X,51,2019-12-21,5.06418,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.3,0.0,0.0,3464.0,2925.0,4.541677641000001,0.0,0.0,0.0,0.0,0.0,0.0,739.78,55494.81673,52806.940480000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06418
X,52,2019-12-28,7.0613399999999995,0.0,0.0,0.0,0.0,0.0,0.0,2.8,2.9,0.0,0.0,3464.0,2916.0,4.968276371,0.0,0.0,0.0,0.0,0.0,0.0,749.61,55580.214120000004,53059.001430000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0613399999999995
X,1,2020-01-04,5.90076,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,0.0,0.0,3499.0,2969.0,5.611808025,0.0,0.0,0.0,0.0,0.0,0.0,724.46,56467.92167999999,53949.234820000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.90076
X,2,2020-01-11,4.94029,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,3503.0,3001.0,5.766867809,0.0,0.0,0.0,0.0,0.0,0.0,657.19,57403.50309,54786.78442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.94029
X,3,2020-01-18,5.33225,3.0,0.0,0.0,0.0,0.0,0.0,1.9,2.0,0.0,0.0,3499.0,2991.0,5.723268237999999,0.0,0.0,0.0,0.0,0.0,0.0,753.08,58459.722570000005,55812.43452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33225
X,4,2020-01-25,6.07825,5.0,0.0,0.0,0.0,0.0,0.0,2.0,2.2,0.0,0.0,3526.0,2994.0,5.614215027999999,0.0,0.0,0.0,0.0,0.0,0.0,745.04,49045.5918,46191.3033,42550.8853,40359.2583,45068.2625,42900.6191,52665.4416,50203.8752,69195.1615,66303.4332,38904.929,37060.4864,44895.8485,42749.2225,54427.5381,52001.2105,72496.8004,69436.0018,60021.3272,57424.8382,48372.2462,46046.3904,53360.7375,50933.1209,52433.6723,49956.975,6.07825
X,5,2020-02-01,6.74757,4.0,0.0,0.0,0.0,0.0,0.0,2.3,2.5,0.0,0.0,3534.0,2991.0,5.530065632,0.0,0.0,0.0,0.0,0.0,0.0,742.53,56011.9471,53042.8844,49417.947,47480.1203,51648.8781,49510.699,60022.6895,57411.644,77714.1906,74567.1304,45094.7356,43455.0678,51382.3204,49277.1354,62038.4764,59497.7846,81166.9626,77800.9888,68324.0691,65815.8023,55521.9401,53446.3227,61150.5083,58905.7532,59099.6018,56495.1089,6.74757
